"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","23.12.2022 16:00 - 23.12.2022 17:00 (UTC)","367","n/e","n/e","562","0","n/e","n/e","n/e","n/e","1259","63","1909","906","n/e","n/e","25","n/e","131","n/e","25","2334"
"Portugal (PT)","23.12.2022 17:00 - 23.12.2022 18:00 (UTC)","370","n/e","n/e","566","0","n/e","n/e","n/e","n/e","1927","62","1981","909","n/e","n/e","24","n/e","3","n/e","25","2412"
"Portugal (PT)","23.12.2022 18:00 - 23.12.2022 19:00 (UTC)","370","n/e","n/e","567","0","n/e","n/e","n/e","n/e","1944","62","2051","962","n/e","n/e","23","n/e","0","n/e","25","2361"
"Portugal (PT)","23.12.2022 19:00 - 23.12.2022 20:00 (UTC)","365","n/e","n/e","566","0","n/e","n/e","n/e","n/e","1932","61","2012","972","n/e","n/e","24","n/e","0","n/e","25","2396"
"Portugal (PT)","23.12.2022 20:00 - 23.12.2022 21:00 (UTC)","361","n/e","n/e","572","0","n/e","n/e","n/e","n/e","1725","61","2023","973","n/e","n/e","24","n/e","0","n/e","25","2523"
"Portugal (PT)","23.12.2022 21:00 - 23.12.2022 22:00 (UTC)","360","n/e","n/e","456","0","n/e","n/e","n/e","n/e","1418","62","1893","955","n/e","n/e","23","n/e","0","n/e","25","2664"
"Portugal (PT)","23.12.2022 22:00 - 23.12.2022 23:00 (UTC)","358","n/e","n/e","193","0","n/e","n/e","n/e","n/e","1039","101","1612","916","n/e","n/e","23","n/e","0","n/e","25","2735"
"Portugal (PT)","23.12.2022 23:00 - 24.12.2022 00:00 (UTC)","359","n/e","n/e","190","0","n/e","n/e","n/e","n/e","1454","61","1804","959","n/e","n/e","23","n/e","0","n/e","25","2791"
"Portugal (PT)","24.12.2022 00:00 - 24.12.2022 01:00 (UTC)","362","n/e","n/e","163","0","n/e","n/e","n/e","n/e","1428","64","1798","975","n/e","n/e","25","n/e","0","n/e","25","2839"
"Portugal (PT)","24.12.2022 01:00 - 24.12.2022 02:00 (UTC)","361","n/e","n/e","162","0","n/e","n/e","n/e","n/e","1205","315","1731","961","n/e","n/e","24","n/e","0","n/e","25","2935"
"Portugal (PT)","24.12.2022 02:00 - 24.12.2022 03:00 (UTC)","363","n/e","n/e","162","0","n/e","n/e","n/e","n/e","1069","514","1765","937","n/e","n/e","23","n/e","0","n/e","25","2965"
"Portugal (PT)","24.12.2022 03:00 - 24.12.2022 04:00 (UTC)","361","n/e","n/e","162","0","n/e","n/e","n/e","n/e","903","517","1845","935","n/e","n/e","22","n/e","0","n/e","25","2886"
"Portugal (PT)","24.12.2022 04:00 - 24.12.2022 05:00 (UTC)","362","n/e","n/e","162","0","n/e","n/e","n/e","n/e","943","517","1848","938","n/e","n/e","22","n/e","0","n/e","25","2852"
"Portugal (PT)","24.12.2022 05:00 - 24.12.2022 06:00 (UTC)","363","n/e","n/e","162","0","n/e","n/e","n/e","n/e","880","115","1685","927","n/e","n/e","25","n/e","0","n/e","25","2852"
"Portugal (PT)","24.12.2022 06:00 - 24.12.2022 07:00 (UTC)","370","n/e","n/e","165","0","n/e","n/e","n/e","n/e","770","75","1602","913","n/e","n/e","23","n/e","0","n/e","25","2953"
"Portugal (PT)","24.12.2022 07:00 - 24.12.2022 08:00 (UTC)","382","n/e","n/e","160","0","n/e","n/e","n/e","n/e","894","75","1483","960","n/e","n/e","23","n/e","1","n/e","25","2928"
"Portugal (PT)","24.12.2022 08:00 - 24.12.2022 09:00 (UTC)","382","n/e","n/e","160","0","n/e","n/e","n/e","n/e","1020","62","1490","833","n/e","n/e","23","n/e","67","n/e","25","2938"
"Portugal (PT)","24.12.2022 09:00 - 24.12.2022 10:00 (UTC)","379","n/e","n/e","169","0","n/e","n/e","n/e","n/e","887","62","1467","845","n/e","n/e","23","n/e","235","n/e","25","3004"
